turbine_id,easting_m,northing_m,site,layout_name
T01,449133,5936508,fid_45,layout_fid7_10t_candidate_v2
T02,449268,5935742,fid_45,layout_fid7_10t_candidate_v2
T03,448097,5936847,fid_45,layout_fid7_10t_candidate_v2
T04,448712,5935877,fid_45,layout_fid7_10t_candidate_v2
T05,449177,5935230,fid_45,layout_fid7_10t_candidate_v2
T06,447630,5936095,fid_45,layout_fid7_10t_candidate_v2
T07,448416,5935270,fid_45,layout_fid7_10t_candidate_v2
T08,447825,5935427,fid_45,layout_fid7_10t_candidate_v2
T09,447112,5935079,fid_45,layout_fid7_10t_candidate_v2
T10,447335,5934626,fid_45,layout_fid7_10t_candidate_v2
