turbine_id,change_type,easting_m_baseline,northing_m_baseline,easting_m_refined,northing_m_refined,delta_easting_m,delta_northing_m,movement_distance_m,rated_power_mw_baseline,rated_power_mw_refined,rotor_diameter_m_baseline,rotor_diameter_m_refined,case_id,comparison_id
T01,moved,450251,5928155,449133.0,5936508.0,-1118.0,8353.0,8427.486754661795,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T02,moved,449770,5928636,449226.0,5935776.0,-544.0,7140.0,7160.693821132139,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T03,moved,449289,5929117,448112.0,5936804.0,-1177.0,7687.0,7776.58652623373,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T04,moved,449578,5927482,448712.0,5935877.0,-866.0,8395.0,8439.54862537091,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T05,moved,449097,5927963,449104.0,5935241.0,7.0,7278.0,7278.003366308647,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T06,moved,448616,5928444,447614.0,5936185.0,-1002.0,7741.0,7805.5803756030855,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T07,moved,448905,5926809,448416.0,5935270.0,-489.0,8461.0,8475.118996214744,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T08,moved,448424,5927290,447825.0,5935427.0,-599.0,8137.0,8159.017710484516,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T09,moved,447943,5927771,447112.0,5935079.0,-831.0,7308.0,7355.0951727357005,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T10,moved,448232,5926136,447335.0,5934626.0,-897.0,8490.0,8537.25418386966,4.2,4.2,136,136.0,fid_7,baseline_vs_fid_7
T11,removed,447751,5926617,,,,,0.0,4.2,,136,,fid_7,baseline_vs_fid_7
T12,removed,447270,5927098,,,,,0.0,4.2,,136,,fid_7,baseline_vs_fid_7
