rank_overall,case_id,layout_name,source_layout_csv,output_dir,num_turbines,installed_capacity_mw,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,gross_capacity_factor,net_capacity_factor,benchmark_wake_loss_pct,delta_vs_benchmark_wake_loss_pct,abs_delta_vs_benchmark_wake_loss_pct,wake_loss_band,selection_basis,selected_layout_flag
1,fid_48,layout_fid7_10t_candidate_v2,data/optimisation/fid_48/candidate_layouts/layout_fid7_10t_candidate_v2.csv,outputs/wake/optimisation/fid_48/layout_fid7_10t_candidate_v2,10,42.00000000000001,115.77748747745608,109.73662524073248,6.040862236723598,5.217648411915883,0.3146811466554035,0.29826219080433913,4.805736585928591,0.4119118259872918,0.4119118259872918,acceptable,highest net AEP within acceptable wake-loss band,True
2,fid_48,layout_fid7_10t_candidate_v3,data/optimisation/fid_48/candidate_layouts/layout_fid7_10t_candidate_v3.csv,outputs/wake/optimisation/fid_48/layout_fid7_10t_candidate_v3,10,42.00000000000001,115.77748747745608,109.65342180635798,6.124065671098094,5.289513362682498,0.3146811466554035,0.2980360453532234,4.805736585928591,0.4837767767539063,0.4837767767539063,acceptable,highest net AEP within acceptable wake-loss band,False
3,fid_48,layout_fid7_10t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_10t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_10t_candidate,10,42.00000000000001,115.77748747745608,109.6108846924969,6.166602784959181,5.326253764282049,0.3146811466554035,0.29792043023618414,4.805736585928591,0.5205171783534572,0.5205171783534572,acceptable,highest net AEP within acceptable wake-loss band,False
4,fid_48,layout_fid7_9t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_9t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_9t_candidate,9,37.800000000000004,104.19973872971048,99.07102217044935,5.128716559261122,4.922005200574242,0.31468114665540353,0.29919252425179793,4.805736585928591,0.11626861464565064,0.11626861464565064,acceptable,highest net AEP within acceptable wake-loss band,False
5,fid_48,layout_fid7_6t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_6t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_6t_candidate,6,25.2,69.46649248647365,66.58623997288458,2.8802525135890704,4.146247220053476,0.3146811466554036,0.3016336883601715,4.805736585928591,-0.6594893658751158,0.6594893658751158,acceptable,highest net AEP within acceptable wake-loss band,False
6,fid_48,layout_fid7_8t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_8t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_8t_candidate,8,33.6,92.62198998196487,88.92376464092149,3.6982253410433827,3.9928156820680405,0.3146811466554036,0.3021165084832351,4.805736585928591,-0.8129209038605509,0.8129209038605509,underutilised,highest net AEP within acceptable wake-loss band,False
7,fid_48,layout_fid7_7t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_7t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_7t_candidate,7,29.4,81.04424123421927,78.65597304352717,2.388268190692102,2.9468697026726,0.31468114665540364,0.30540790328459283,4.805736585928591,-1.8588668832559914,1.8588668832559914,underutilised,highest net AEP within acceptable wake-loss band,False
8,fid_48,layout_fid7_5t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_5t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_5t_candidate,5,21.0,57.88874373872804,56.44927897286256,1.4394647658654804,2.4866056385025104,0.31468114665540353,0.3068562675193659,4.805736585928591,-2.319130947426081,2.319130947426081,underutilised,highest net AEP within acceptable wake-loss band,False
9,fid_48,layout_fid7_12t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_12t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_12t_candidate,12,50.40000000000001,138.9329849729473,128.4309838297623,10.502001143184998,7.559040889555437,0.3146811466554035,0.2908942701079996,4.805736585928591,2.7533043036268454,2.7533043036268454,overcrowded,highest net AEP within acceptable wake-loss band,False
10,fid_48,layout_fid7_11t_candidate,data/optimisation/fid_48/candidate_layouts/layout_fid7_11t_candidate.csv,outputs/wake/optimisation/fid_48/layout_fid7_11t_candidate,11,46.20000000000001,127.35523622520168,119.00465271219124,8.350583513010434,6.5569220084866675,0.31468114665540353,0.2940477492937971,4.805736585928591,1.751185422558076,1.751185422558076,overcrowded,highest net AEP within acceptable wake-loss band,False
