turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T12,450182,5934546,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,11.364383111325196,0.21336563642041284,1.842893994931086,0.30888190670051086
T03,448097,5936847,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,11.24446581456372,0.3332829331818896,2.8786505947176098,0.3056225759557436
T10,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,11.190302032428674,0.3874467153169352,3.346477141269609,0.3041504140146954
T09,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,11.15688083047947,0.4208679172661398,3.635144676533857,0.303242031704704
T06,447630,5936095,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,11.089164717569668,0.4885840301759412,4.220026196984773,0.30140151982957347
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.941526797240813,0.6362219505047957,5.495212967276382,0.2973887474788218
T05,449177,5935230,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.871858154535467,0.7058905932101425,6.09695899081928,0.29549516619198374
T11,447957,5934958,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.751128083226883,0.8266206645187264,7.139735733854857,0.2922137443799435
T08,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.602921893102735,0.974826854642874,8.419830796835091,0.2881855265574781
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.586096899630826,0.9916518481147829,8.565152601950142,0.28772822623480176
T02,449268,5935742,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.56733860389111,1.0104101438544983,8.72717283704436,0.28721837910119347
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_c,11.57774874774561,10.481007585129774,1.0967411626158352,9.472836097167768,0.28487191740404905
