turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T03,448097,5936847,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,11.292155991570372,0.2855927561752374,2.4667382441759007,0.3069187864636435
T10,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,11.236876080896801,0.34087266684880824,2.944205080587728,0.30541628834792345
T09,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,11.190726641895838,0.3870221058497716,3.342809679862258,0.3041619548243052
T11,449613,5934602,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,11.117784295749257,0.4599644519963526,3.972831523796159,0.3021793948616345
T06,447630,5936095,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,11.116508283968612,0.46124046377699734,3.983852766426711,0.30214471308894897
T12,450182,5934546,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,11.086287500411972,0.4914612473336373,4.244877463153909,0.30132331758023406
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,10.944667266408361,0.6330814813372481,5.468087925647205,0.2974741048708513
T08,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,10.863511154002609,0.7142375937430003,6.169054185789573,0.2952682962057678
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,10.80010860363517,0.777640144110439,6.7166783547782485,0.2935450261914321
T05,449177,5935230,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,10.789739769356094,0.7880089783895148,6.8062366489249815,0.2932632031244861
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,10.674341574090665,0.9034071736549443,7.8029606043303845,0.2901267007526273
T02,449268,5935742,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_d,11.57774874774561,10.49788362373454,1.0798651240110697,9.32707340208379,0.28533060512433517
