turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,site,layout_name,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T03,448097,5936847,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,11.292160095659616,0.28558865208599293,2.4667027960993027,0.3069188980120574
T10,447335,5934626,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,11.238378482659703,0.33937026508590584,2.9312284493303347,0.3054571233599615
T09,447112,5935079,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,11.190726641895838,0.3870221058497716,3.342809679862258,0.3041619548243052
T11,449735,5934467,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,11.141251311413367,0.43649743633224247,3.7701408610826537,0.30281722416322476
T06,447630,5936095,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,11.116052916808695,0.4616958309369146,3.987785889953907,0.3021323362907342
T01,449133,5936508,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.935204800655262,0.6425439470903473,5.549817681226343,0.2972169167388362
T12,450182,5934546,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.883490378465403,0.694258369280206,5.996488474630185,0.2958113279643782
T08,447825,5935427,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.865439673917074,0.7123090738285356,6.152397062228826,0.2953207130331886
T05,449177,5935230,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.831102713181233,0.7466460345643764,6.448974242162247,0.2943874405626558
T07,448416,5935270,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.81937964644412,0.7583691013014899,6.550229391090887,0.29406880969895954
T04,448712,5935877,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.674522694592154,0.903226053153455,7.801396219876761,0.2901316235755641
T02,449268,5935742,112.0,136.0,4.2,Vestas V136-4.2 MW,fid_7,layout_multisite_12t_candidate_e,11.57774874774561,10.510699722984953,1.0670490247606566,9.216377449618,0.28567894441685565
